trans_id,Card_Type,Amount,Gender,City,Exp_id,Date
0,4,82475,Female,Delhi,3,2014-10-29
1,3,32555,Female,Greater Mumbai,3,2014-08-22
2,1,101738,Female,Bengaluru,3,2014-08-27
3,2,123424,Female,Greater Mumbai,3,2014-04-12
4,4,171574,Female,Bengaluru,3,2015-05-05
5,1,100036,Female,Delhi,3,2014-09-08
6,4,143250,Female,Delhi,3,2015-02-24
7,3,150980,Female,Greater Mumbai,3,2014-06-26
8,1,192247,Female,Delhi,3,2014-03-28
9,3,67932,Female,Delhi,3,2014-09-01
10,3,280061,Female,Delhi,3,2014-06-22
11,2,278036,Female,Greater Mumbai,3,2013-12-07
12,4,19226,Female,Greater Mumbai,3,2014-08-07
13,2,254359,Female,Delhi,3,2014-04-27
14,2,302834,Female,Greater Mumbai,3,2014-08-15
15,3,647116,Female,Greater Mumbai,3,2014-11-28
16,2,421878,Female,Greater Mumbai,3,2014-06-14
17,4,986379,Female,Greater Mumbai,3,2015-03-30
18,3,213047,Female,Greater Mumbai,3,2014-03-15
19,3,735566,Female,Greater Mumbai,3,2013-11-09
20,2,366102,Female,Delhi,3,2014-04-04
21,2,809623,Female,Delhi,3,2014-07-01
22,1,467014,Female,Greater Mumbai,3,2015-03-27
23,4,668568,Female,Ahmedabad,3,2013-10-11
24,4,339112,Female,Ahmedabad,3,2014-03-26
25,1,622170,Female,Delhi,3,2014-09-27
26,3,434427,Female,Bengaluru,3,2014-03-23
27,2,655846,Female,Greater Mumbai,3,2014-05-17
28,3,987935,Female,Bengaluru,3,2015-01-18
29,4,702774,Female,Delhi,3,2015-04-18
30,2,225392,Female,Bengaluru,3,2014-07-31
31,4,296573,Female,Greater Mumbai,3,2015-02-11
32,3,227702,Female,Ahmedabad,3,2013-11-24
33,4,864090,Female,Ahmedabad,3,2014-11-08
34,2,440605,Female,Ahmedabad,3,2014-09-06
35,3,954660,Female,Ahmedabad,3,2015-03-24
36,2,255577,Female,Ahmedabad,3,2014-01-01
37,1,337352,Female,Ahmedabad,3,2014-07-12
38,3,660244,Female,Ahmedabad,3,2014-02-04
39,1,401351,Female,Delhi,3,2015-02-03
40,3,678842,Female,Delhi,3,2013-10-27
41,4,478861,Female,Delhi,3,2014-05-11
42,3,804938,Female,Bengaluru,3,2014-11-10
43,1,888341,Female,Delhi,3,2015-01-30
44,3,262414,Female,Bengaluru,3,2014-04-19
45,4,249353,Female,Bengaluru,3,2014-09-08
46,4,892016,Female,Ahmedabad,3,2013-12-10
47,3,313626,Female,Ahmedabad,3,2013-11-04
48,4,314366,Female,Greater Mumbai,3,2014-06-01
49,2,551340,Female,Greater Mumbai,3,2014-04-27
50,2,735037,Female,Delhi,3,2013-10-04
51,3,574023,Female,Greater Mumbai,3,2014-12-31
52,2,402300,Female,Ahmedabad,3,2013-12-21
53,2,733125,Female,Delhi,3,2013-12-07
54,2,545977,Female,Greater Mumbai,3,2014-02-07
55,1,371572,Female,Bengaluru,3,2015-05-13
56,2,326283,Female,Ahmedabad,3,2015-01-28
57,3,279051,Female,Delhi,3,2014-12-09
58,3,900101,Female,Delhi,3,2013-10-08
59,1,545286,Female,Ahmedabad,3,2014-04-24
60,3,722587,Female,Delhi,3,2015-01-13
61,3,411062,Female,Bengaluru,3,2014-03-14
62,3,660910,Female,Delhi,3,2014-02-27
63,2,557370,Female,Greater Mumbai,3,2013-10-29
64,3,549794,Female,Greater Mumbai,3,2014-06-22
65,3,340133,Female,Delhi,3,2014-01-23
66,4,265417,Female,Bengaluru,3,2013-11-10
67,3,358185,Female,Greater Mumbai,3,2013-12-13
68,4,991685,Female,Greater Mumbai,3,2014-03-22
69,4,533762,Female,Greater Mumbai,3,2015-01-13
70,4,829742,Female,Greater Mumbai,3,2014-05-08
71,1,441527,Female,Delhi,3,2014-02-18
72,2,550782,Female,Delhi,3,2013-10-04
73,3,835872,Female,Greater Mumbai,3,2014-06-14
74,1,540497,Female,Ahmedabad,3,2014-08-24
75,3,525977,Female,Greater Mumbai,3,2015-04-02
76,4,789393,Female,Greater Mumbai,3,2014-06-27
77,3,689478,Female,Greater Mumbai,3,2015-02-06
78,1,499079,Female,Bengaluru,3,2014-03-29
79,3,665107,Female,Ahmedabad,3,2014-04-22
80,3,998077,Female,Greater Mumbai,3,2014-10-14
81,1,934205,Female,Ahmedabad,3,2014-02-02
82,3,823426,Female,Bengaluru,3,2015-04-01
83,2,282910,Female,Ahmedabad,3,2015-01-13
84,4,418675,Female,Bengaluru,3,2014-03-27
85,1,804949,Female,Ahmedabad,3,2015-02-17
86,4,686601,Female,Bengaluru,3,2015-02-10
87,1,561220,Female,Greater Mumbai,3,2014-02-26
88,4,762534,Female,Greater Mumbai,3,2015-05-07
89,4,327947,Female,Bengaluru,3,2014-01-05
90,4,492986,Female,Bengaluru,3,2014-04-07
91,2,369237,Female,Delhi,3,2015-02-20
92,3,983839,Female,Bengaluru,3,2015-01-19
93,4,776716,Female,Ahmedabad,3,2014-11-14
94,4,664632,Female,Greater Mumbai,3,2014-07-21
95,4,466727,Female,Bengaluru,3,2015-02-03
96,4,896384,Female,Bengaluru,3,2013-11-01
97,2,712001,Female,Delhi,3,2013-12-07
98,1,246865,Female,Greater Mumbai,3,2014-08-05
99,2,858729,Female,Greater Mumbai,3,2015-01-08
100,3,581882,Female,Delhi,3,2015-04-11
101,2,646426,Female,Greater Mumbai,3,2015-02-15
102,1,687088,Female,Bengaluru,3,2015-03-24
103,2,973026,Female,Bengaluru,3,2013-10-13
104,1,944398,Female,Greater Mumbai,3,2015-04-24
105,3,414422,Female,Ahmedabad,3,2014-11-09
106,2,408503,Female,Bengaluru,3,2015-02-04
107,2,984466,Female,Bengaluru,3,2014-03-06
108,4,919997,Female,Greater Mumbai,3,2014-03-27
109,2,535101,Female,Greater Mumbai,3,2013-11-13
110,2,978301,Female,Greater Mumbai,3,2013-10-22
111,4,880406,Female,Greater Mumbai,3,2014-09-27
112,1,447241,Female,Ahmedabad,3,2014-11-14
113,3,382191,Female,Bengaluru,3,2013-10-21
114,1,775859,Female,Bengaluru,3,2015-05-15
115,3,832637,Female,Bengaluru,3,2014-03-21
116,3,458526,Female,Bengaluru,3,2015-04-03
117,2,440995,Female,Ahmedabad,3,2015-04-06
118,3,490128,Female,Ahmedabad,3,2013-11-05
119,3,897079,Female,Delhi,3,2013-10-07
120,4,431948,Female,Delhi,3,2014-10-31
121,1,228072,Female,Bengaluru,3,2014-04-03
122,4,757649,Female,Delhi,3,2013-11-21
123,2,919877,Female,Delhi,3,2014-05-11
124,4,605615,Female,Greater Mumbai,3,2014-05-23
125,3,500852,Female,Bengaluru,3,2015-05-22
126,2,488136,Female,Greater Mumbai,3,2015-02-15
127,4,937828,Female,Delhi,3,2014-06-16
128,4,315873,Female,Delhi,3,2014-01-27
129,1,567623,Female,Greater Mumbai,3,2015-05-20
130,3,555123,Female,Greater Mumbai,3,2013-10-29
131,4,498843,Female,Bengaluru,3,2014-04-20
132,1,752610,Female,Greater Mumbai,3,2014-05-23
133,3,494540,Female,Greater Mumbai,3,2015-03-11
134,4,996754,Female,Delhi,3,2013-10-27
135,2,245572,Female,Ahmedabad,3,2014-07-14
136,4,974384,Female,Delhi,3,2014-04-18
137,1,846635,Female,Ahmedabad,3,2014-03-25
138,1,635473,Female,Ahmedabad,3,2014-09-01
139,4,224510,Female,Delhi,3,2015-03-23
140,1,478671,Female,Delhi,3,2015-01-24
