trans_id,Card_Type,Amount,Gender,City,Date,Exp_id
0,4,82475,F,"Delhi, India",29-Oct-14,3
1,3,32555,F,"Greater Mumbai, India",22-Aug-14,3
2,1,101738,F,"Bengaluru, India",27-Aug-14,3
3,2,123424,F,"Greater Mumbai, India",12-Apr-14,3
4,4,171574,F,"Bengaluru, India",5-May-15,3
5,1,100036,F,"Delhi, India",8-Sep-14,3
6,4,143250,F,"Delhi, India",24-Feb-15,3
7,3,150980,F,"Greater Mumbai, India",26-Jun-14,3
8,1,192247,F,"Delhi, India",28-Mar-14,3
9,3,67932,F,"Delhi, India",1-Sep-14,3
10,3,280061,F,"Delhi, India",22-Jun-14,3
11,2,278036,F,"Greater Mumbai, India",7-Dec-13,3
12,4,19226,F,"Greater Mumbai, India",7-Aug-14,3
13,2,254359,F,"Delhi, India",27-Apr-14,3
14,2,302834,F,"Greater Mumbai, India",15-Aug-14,3
15,3,647116,F,"Greater Mumbai, India",28-Nov-14,3
16,2,421878,F,"Greater Mumbai, India",14-Jun-14,3
17,4,986379,F,"Greater Mumbai, India",30-Mar-15,3
18,3,213047,F,"Greater Mumbai, India",15-Mar-14,3
19,3,735566,F,"Greater Mumbai, India",9-Nov-13,3
20,2,366102,F,"Delhi, India",4-Apr-14,3
21,2,809623,F,"Delhi, India",1-Jul-14,3
22,1,467014,F,"Greater Mumbai, India",27-Mar-15,3
23,4,668568,F,"Ahmedabad, India",11-Oct-13,3
24,4,339112,F,"Ahmedabad, India",26-Mar-14,3
25,1,622170,F,"Delhi, India",27-Sep-14,3
26,3,434427,F,"Bengaluru, India",23-Mar-14,3
27,2,655846,F,"Greater Mumbai, India",17-May-14,3
28,3,987935,F,"Bengaluru, India",18-Jan-15,3
29,4,702774,F,"Delhi, India",18-Apr-15,3
30,2,225392,F,"Bengaluru, India",31-Jul-14,3
31,4,296573,F,"Greater Mumbai, India",11-Feb-15,3
32,3,227702,F,"Ahmedabad, India",24-Nov-13,3
33,4,864090,F,"Ahmedabad, India",8-Nov-14,3
34,2,440605,F,"Ahmedabad, India",6-Sep-14,3
35,3,954660,F,"Ahmedabad, India",24-Mar-15,3
36,2,255577,F,"Ahmedabad, India",1-Jan-14,3
37,1,337352,F,"Ahmedabad, India",12-Jul-14,3
38,3,660244,F,"Ahmedabad, India",4-Feb-14,3
39,1,401351,F,"Delhi, India",3-Feb-15,3
40,3,678842,F,"Delhi, India",27-Oct-13,3
41,4,478861,F,"Delhi, India",11-May-14,3
42,3,804938,F,"Bengaluru, India",10-Nov-14,3
43,1,888341,F,"Delhi, India",30-Jan-15,3
44,3,262414,F,"Bengaluru, India",19-Apr-14,3
45,4,249353,F,"Bengaluru, India",8-Sep-14,3
46,4,892016,F,"Ahmedabad, India",10-Dec-13,3
47,3,313626,F,"Ahmedabad, India",4-Nov-13,3
48,4,314366,F,"Greater Mumbai, India",1-Jun-14,3
49,2,551340,F,"Greater Mumbai, India",27-Apr-14,3
50,2,735037,F,"Delhi, India",4-Oct-13,3
51,3,574023,F,"Greater Mumbai, India",31-Dec-14,3
52,2,402300,F,"Ahmedabad, India",21-Dec-13,3
53,2,733125,F,"Delhi, India",7-Dec-13,3
54,2,545977,F,"Greater Mumbai, India",7-Feb-14,3
55,1,371572,F,"Bengaluru, India",13-May-15,3
56,2,326283,F,"Ahmedabad, India",28-Jan-15,3
57,3,279051,F,"Delhi, India",9-Dec-14,3
58,3,900101,F,"Delhi, India",8-Oct-13,3
59,1,545286,F,"Ahmedabad, India",24-Apr-14,3
60,3,722587,F,"Delhi, India",13-Jan-15,3
61,3,411062,F,"Bengaluru, India",14-Mar-14,3
62,3,660910,F,"Delhi, India",27-Feb-14,3
63,2,557370,F,"Greater Mumbai, India",29-Oct-13,3
64,3,549794,F,"Greater Mumbai, India",22-Jun-14,3
65,3,340133,F,"Delhi, India",23-Jan-14,3
66,4,265417,F,"Bengaluru, India",10-Nov-13,3
67,3,358185,F,"Greater Mumbai, India",13-Dec-13,3
68,4,991685,F,"Greater Mumbai, India",22-Mar-14,3
69,4,533762,F,"Greater Mumbai, India",13-Jan-15,3
70,4,829742,F,"Greater Mumbai, India",8-May-14,3
71,1,441527,F,"Delhi, India",18-Feb-14,3
72,2,550782,F,"Delhi, India",4-Oct-13,3
73,3,835872,F,"Greater Mumbai, India",14-Jun-14,3
74,1,540497,F,"Ahmedabad, India",24-Aug-14,3
75,3,525977,F,"Greater Mumbai, India",2-Apr-15,3
76,4,789393,F,"Greater Mumbai, India",27-Jun-14,3
77,3,689478,F,"Greater Mumbai, India",6-Feb-15,3
78,1,499079,F,"Bengaluru, India",29-Mar-14,3
79,3,665107,F,"Ahmedabad, India",22-Apr-14,3
80,3,998077,F,"Greater Mumbai, India",14-Oct-14,3
81,1,934205,F,"Ahmedabad, India",2-Feb-14,3
82,3,823426,F,"Bengaluru, India",1-Apr-15,3
83,2,282910,F,"Ahmedabad, India",13-Jan-15,3
84,4,418675,F,"Bengaluru, India",27-Mar-14,3
85,1,804949,F,"Ahmedabad, India",17-Feb-15,3
86,4,686601,F,"Bengaluru, India",10-Feb-15,3
87,1,561220,F,"Greater Mumbai, India",26-Feb-14,3
88,4,762534,F,"Greater Mumbai, India",7-May-15,3
89,4,327947,F,"Bengaluru, India",5-Jan-14,3
90,4,492986,F,"Bengaluru, India",7-Apr-14,3
91,2,369237,F,"Delhi, India",20-Feb-15,3
92,3,983839,F,"Bengaluru, India",19-Jan-15,3
93,4,776716,F,"Ahmedabad, India",14-Nov-14,3
94,4,664632,F,"Greater Mumbai, India",21-Jul-14,3
95,4,466727,F,"Bengaluru, India",3-Feb-15,3
96,4,896384,F,"Bengaluru, India",1-Nov-13,3
97,2,712001,F,"Delhi, India",7-Dec-13,3
98,1,246865,F,"Greater Mumbai, India",5-Aug-14,3
99,2,858729,F,"Greater Mumbai, India",8-Jan-15,3
100,3,581882,F,"Delhi, India",11-Apr-15,3
101,2,646426,F,"Greater Mumbai, India",15-Feb-15,3
102,1,687088,F,"Bengaluru, India",24-Mar-15,3
103,2,973026,F,"Bengaluru, India",13-Oct-13,3
104,1,944398,F,"Greater Mumbai, India",24-Apr-15,3
105,3,414422,F,"Ahmedabad, India",9-Nov-14,3
106,2,408503,F,"Bengaluru, India",4-Feb-15,3
107,2,984466,F,"Bengaluru, India",6-Mar-14,3
108,4,919997,F,"Greater Mumbai, India",27-Mar-14,3
109,2,535101,F,"Greater Mumbai, India",13-Nov-13,3
110,2,978301,F,"Greater Mumbai, India",22-Oct-13,3
111,4,880406,F,"Greater Mumbai, India",27-Sep-14,3
112,1,447241,F,"Ahmedabad, India",14-Nov-14,3
113,3,382191,F,"Bengaluru, India",21-Oct-13,3
114,1,775859,F,"Bengaluru, India",15-May-15,3
115,3,832637,F,"Bengaluru, India",21-Mar-14,3
116,3,458526,F,"Bengaluru, India",3-Apr-15,3
117,2,440995,F,"Ahmedabad, India",6-Apr-15,3
118,3,490128,F,"Ahmedabad, India",5-Nov-13,3
119,3,897079,F,"Delhi, India",7-Oct-13,3
120,4,431948,F,"Delhi, India",31-Oct-14,3
121,1,228072,F,"Bengaluru, India",3-Apr-14,3
122,4,757649,F,"Delhi, India",21-Nov-13,3
123,2,919877,F,"Delhi, India",11-May-14,3
